roll,subject,ut1,theory1,ut2,theory2,practical
56,Biology,13.0,27.0,14.0,44.0,28.0
57,Biology,19.0,39.0,18.0,63.0,30.0
58,Biology,16.0,32.0,14.0,39.0,27.0
59,Biology,13.0,28.0,13.0,42.0,28.0
60,Biology,11.0,31.0,16.0,36.0,28.0
61,Biology,16.0,33.0,14.0,49.0,28.0
62,Biology,12.0,28.0,16.0,38.0,27.0
63,Biology,14.0,29.0,18.0,35.0,27.0
64,Biology,13.0,28.0,14.0,66.0,28.0
65,Biology,16.0,27.0,15.0,43.0,27.0
66,Biology,20.0,31.0,15.0,58.0,28.0
67,Biology,12.0,30.0,13.0,51.0,27.0
68,Biology,14.0,29.0,15.0,44.0,27.0
69,Biology,13.0,30.0,12.0,52.0,28.0
70,Biology,12.0,31.0,13.0,46.0,27.0
71,Biology,17.0,35.0,18.0,48.0,28.0
72,Biology,16.0,34.0,15.0,46.0,27.0
73,Biology,12.0,30.0,13.0,45.0,28.0
74,Biology,13.0,29.0,15.0,48.0,27.0
75,Biology,18.0,35.0,17.0,64.0,28.0
76,Biology,13.0,30.0,15.0,41.0,27.0
77,Biology,15.0,28.0,14.0,62.0,27.0
78,Biology,13.0,29.0,15.0,39.0,27.0
79,Biology,20.0,28.0,19.0,51.0,28.0
80,Biology,12.0,30.0,11.0,45.0,28.0
81,Biology,13.0,29.0,16.0,65.0,28.0
82,Biology,14.0,28.0,13.0,41.0,27.0
83,Biology,12.0,30.0,12.0,42.0,28.0
84,Biology,13.0,29.0,13.0,45.0,27.0
85,Biology,20.0,28.0,19.0,55.0,28.0
86,Biology,12.0,25.0,16.0,43.0,28.0
87,Biology,16.0,28.0,13.0,42.0,27.0
88,Biology,12.0,30.0,14.0,52.0,28.0
89,Biology,19.0,29.0,18.0,66.0,27.0
90,Biology,15.0,30.0,15.0,62.0,26.0
91,Biology,10.0,32.0,14.0,44.0,28.0
92,Biology,11.0,31.0,13.0,60.0,27.0
93,Biology,12.0,30.0,13.0,48.0,28.0
94,Biology,16.0,29.0,14.0,50.0,27.0
95,Biology,15.0,28.0,12.0,43.0,28.0
96,Biology,18.0,30.0,19.0,37.0,27.0
97,Biology,14.0,35.0,16.0,39.0,28.0
98,Biology,13.0,34.0,12.0,65.0,28.0
99,Biology,12.0,32.0,13.0,48.0,28.0
100,Biology,10.0,33.0,11.0,41.0,27.0
101,Biology,14.0,32.0,13.0,50.0,27.0
102,Biology,20.0,30.0,19.0,64.0,28.0
103,Biology,12.0,34.0,13.0,43.0,27.0
104,Biology,16.0,30.0,12.0,42.0,28.0
105,Biology,17.0,30.0,13.0,48.0,27.0
106,Biology,15.0,28.0,14.0,53.0,28.0
107,Biology,18.0,33.0,16.0,56.0,27.0
108,Biology,15.0,30.0,10.0,42.0,28.0
109,Biology,17.0,34.0,17.0,55.0,28.0
110,Biology,14.0,36.0,15.0,44.0,28.0
111,Biology,0,0,0,0,0
112,Biology,10.0,33.0,16.0,57.0,26.0
113,Biology,14.0,30.0,16.0,64.0,28.0
114,Biology,15.0,34.0,13.0,34.0,27.0
115,Biology,16.0,30.0,13.0,59.0,28.0
116,Biology,15.0,29.0,16.0,35.0,27.0
117,Biology,18.0,33.0,16.0,58.0,28.0
118,Biology,17.0,34.0,15.0,61.0,28.0
119,Biology,20.0,36.0,16.0,56.0,27.0
120,Biology,17.0,35.0,18.0,54.0,28.0
1,Math,18.0,20.0,18.0,77.0,18.0
2,Math,17.0,26.0,19.0,64.0,20.0
3,Math,19.0,25.0,18.0,50.0,20.0
4,Math,20.0,24.0,15.0,45.0,20.0
5,Math,18.0,36.0,16.0,60.0,19.0
6,Math,18.0,29.0,12.0,60.0,19.0
7,Math,0,0,0,0,0
8,Math,0,0,0,0,0
9,Math,0,0,0,0,0
10,Math,0,0,0,0,0
11,Math,0,0,0,0,0
12,Math,0,0,0,0,0
13,Math,20.0,32.0,18.0,54.0,20.0
14,Math,19.0,24.0,12.0,47.0,20.0
15,Math,16.0,29.0,19.0,68.0,19.0
16,Math,15.0,35.0,17.0,63.0,19.0
17,Math,0,0,0,0,0
18,Math,0,0,0,0,0
19,Math,20.0,33.0,22.0,47.0,20.0
20,Math,18.0,28.0,15.0,72.0,18.0
21,Math,0,0,0,0,0
22,Math,19.0,33.0,16.0,65.0,19.0
23,Math,0,0,0,0,0
24,Math,20.0,28.0,22.0,76.0,20.0
25,Math,20.0,26.0,16.0,32.0,20.0
26,Math,16.0,24.0,17.0,53.0,20.0
27,Math,17.0,30.0,20.0,71.0,19.0
28,Math,21.0,26.0,21.0,75.0,19.0
29,Math,19.0,27.0,15.0,67.0,19.0
30,Math,0,0,0,0,0
31,Math,15.0,29.0,19.0,59.0,20.0
32,Math,18.0,30.0,15.0,39.0,20.0
33,Math,17.0,26.0,19.0,45.0,20.0
34,Math,22.0,40.0,19.0,36.0,20.0
35,Math,17.0,31.0,19.0,56.0,20.0
36,Math,12.0,27.0,18.0,61.0,19.0
37,Math,16.0,30.0,18.0,74.0,18.0
38,Math,14.0,28.0,12.0,72.0,18.0
39,Math,14.0,24.0,16.0,50.0,20.0
40,Math,16.0,26.0,16.0,50.0,20.0
41,Math,17.0,39.0,20.0,49.0,20.0
42,Math,16.0,30.0,18.0,63.0,19.0
43,Math,15.0,28.0,14.0,62.0,19.0
44,Math,17.0,36.0,20.0,57.0,20.0
45,Math,12.0,31.0,14.0,63.0,19.0
46,Math,14.0,29.0,11.0,78.0,18.0
47,Math,13.0,31.0,17.0,54.0,20.0
48,Math,20.0,28.0,20.0,54.0,20.0
49,Math,16.0,35.0,13.0,74.0,20.0
50,Math,15.0,34.0,12.0,78.0,18.0
51,Math,17.0,36.0,13.0,72.0,18.0
52,Math,0,0,0,0,0
53,Math,13.0,29.0,19.0,41.0,20.0
54,Math,16.0,30.0,19.0,43.0,20.0
55,Math,18.0,37.0,18.0,52.0,20.0
56,Math,17.0,27.0,19.0,47.0,20.0
57,Math,21.0,29.0,20.0,75.0,20.0
58,Math,19.0,32.0,15.0,56.0,20.0
59,Math,11.0,31.0,17.0,64.0,19.0
60,Math,0,0,0,0,0
61,Math,16.0,31.0,12.0,75.0,19.0
62,Math,12.0,30.0,16.0,65.0,19.0
63,Math,18.0,27.0,16.0,52.0,20.0
64,Math,14.0,28.0,12.0,66.0,18.0
65,Math,12.0,26.0,11.0,67.0,19.0
66,Math,14.0,25.0,21.0,60.0,19.0
67,Math,0,0,0,0,0
68,Math,17.0,22.0,18.0,61.0,20.0
69,Math,19.0,39.0,18.0,77.0,19.0
70,Math,20.0,23.0,19.0,56.0,20.0
71,Math,13.0,29.0,17.0,64.0,19.0
72,Math,19.0,28.0,18.0,57.0,20.0
73,Math,20.0,26.0,14.0,37.0,20.0
74,Math,16.0,30.0,14.0,44.0,20.0
75,Math,19.0,39.0,16.0,55.0,20.0
76,Math,18.0,31.0,15.0,57.0,20.0
77,Math,12.0,29.0,14.0,65.0,19.0
78,Math,19.0,28.0,17.0,57.0,20.0
79,Math,17.0,36.0,21.0,48.0,20.0
80,Math,13.0,28.0,18.0,62.0,19.0
81,Math,19.0,20.0,15.0,77.0,18.0
82,Math,20.0,29.0,27.0,43.0,20.0
83,Math,20.0,26.0,16.0,54.0,20.0
84,Math,19.0,27.0,19.0,54.0,20.0
85,Math,20.0,38.0,15.0,54.0,20.0
86,Math,14.0,22.0,14.0,62.0,19.0
87,Math,12.0,29.0,17.0,63.0,19.0
88,Math,15.0,26.0,18.0,60.0,19.0
89,Math,19.0,29.0,13.0,78.0,18.0
90,Math,10.0,22.0,12.0,67.0,19.0
91,Math,0,0,0,0,0
92,Math,0,0,0,0,0
93,Math,19.0,30.0,17.0,28.0,20.0
94,Math,20.0,31.0,18.0,44.0,20.0
95,Math,0,0,0,0,0
96,Math,18.0,30.0,15.0,56.0,20.0
97,Math,19.0,29.0,17.0,52.0,20.0
98,Math,20.0,39.0,27.0,42.0,20.0
99,Math,20.0,29.0,14.0,47.0,20.0
100,Math,16.0,30.0,15.0,52.0,20.0
101,Math,13.0,31.0,12.0,60.0,20.0
102,Math,19.0,27.0,13.0,77.0,18.0
103,Math,19.0,26.0,18.0,48.0,20.0
104,Math,20.0,30.0,19.0,46.0,20.0
105,Math,19.0,28.0,18.0,50.0,20.0
106,Math,20.0,26.0,17.0,28.0,20.0
107,Math,20.0,26.0,16.0,62.0,19.0
108,Math,16.0,30.0,19.0,46.0,20.0
109,Math,18.0,24.0,20.0,50.0,20.0
110,Math,20.0,31.0,19.0,51.0,20.0
111,Math,0,0,0,0,0
112,Math,19.0,25.0,16.0,68.0,20.0
113,Math,12.0,28.0,19.0,72.0,18.0
114,Math,18.0,30.0,16.0,28.0,20.0
115,Math,16.0,22.0,15.0,65.0,19.0
116,Math,19.0,26.0,16.0,32.0,20.0
117,Math,20.0,27.0,14.0,78.0,18.0
118,Math,20.0,25.0,13.0,75.0,18.0
119,Math,0,0,0,0,0
120,Math,19.0,30.0,20.0,57.0,20.0
1,Geography,0,0,0,0,0
2,Geography,0,0,0,0,0
3,Geography,0,0,0,0,0
4,Geography,0,0,0,0,0
5,Geography,0,0,0,0,0
6,Geography,0,0,0,0,0
7,Geography,21.0,39.0,21.0,60.0,19.0
8,Geography,22.0,44.0,23.0,63.0,20.0
9,Geography,24.0,46.0,23.0,67.0,20.0
10,Geography,20.0,45.0,21.0,62.0,20.0
11,Geography,19.0,41.0,20.0,57.0,19.0
12,Geography,24.0,46.0,23.0,67.0,20.0
13,Geography,0,0,0,0,0
14,Geography,0,0,0,0,0
15,Geography,0,0,0,0,0
16,Geography,0,0,0,0,0
17,Geography,21.0,41.0,20.0,70.0,18.0
18,Geography,18.0,48.0,21.0,51.0,19.0
19,Geography,0,0,0,0,0
20,Geography,0,0,0,0,0
21,Geography,21.0,46.0,22.0,63.0,19.0
22,Geography,0,0,0,0,0
23,Geography,23.0,46.0,24.0,68.0,20.0
24,Geography,0,0,0,0,0
25,Geography,0,0,0,0,0
26,Geography,0,0,0,0,0
27,Geography,0,0,0,0,0
28,Geography,0,0,0,0,0
29,Geography,0,0,0,0,0
30,Geography,0,0,0,0,0
31,Geography,0,0,0,0,0
32,Geography,0,0,0,0,0
33,Geography,0,0,0,0,0
34,Geography,0,0,0,0,0
35,Geography,0,0,0,0,0
36,Geography,0,0,0,0,0
37,Geography,0,0,0,0,0
38,Geography,0,0,0,0,0
39,Geography,0,0,0,0,0
40,Geography,0,0,0,0,0
41,Geography,0,0,0,0,0
42,Geography,0,0,0,0,0
43,Geography,0,0,0,0,0
44,Geography,0,0,0,0,0
45,Geography,0,0,0,0,0
46,Geography,0,0,0,0,0
47,Geography,0,0,0,0,0
48,Geography,0,0,0,0,0
49,Geography,0,0,0,0,0
50,Geography,0,0,0,0,0
51,Geography,0,0,0,0,0
52,Geography,24.0,48.0,24.0,52.0,20.0
53,Geography,0,0,0,0,0
54,Geography,0,0,0,0,0
55,Geography,0,0,0,0,0
56,Geography,0,0,0,0,0
57,Geography,0,0,0,0,0
58,Geography,0,0,0,0,0
59,Geography,0,0,0,0,0
60,Geography,24.0,48.0,24.0,47.0,20.0
61,Geography,0,0,0,0,0
62,Geography,0,0,0,0,0
63,Geography,0,0,0,0,0
64,Geography,0,0,0,0,0
65,Geography,0,0,0,0,0
66,Geography,0,0,0,0,0
67,Geography,23.0,45.0,24.0,68.0,20.0
68,Geography,0,0,0,0,0
69,Geography,0,0,0,0,0
70,Geography,0,0,0,0,0
71,Geography,0,0,0,0,0
72,Geography,0,0,0,0,0
73,Geography,0,0,0,0,0
74,Geography,0,0,0,0,0
75,Geography,0,0,0,0,0
76,Geography,0,0,0,0,0
77,Geography,0,0,0,0,0
78,Geography,0,0,0,0,0
79,Geography,0,0,0,0,0
80,Geography,0,0,0,0,0
81,Geography,0,0,0,0,0
82,Geography,0,0,0,0,0
83,Geography,0,0,0,0,0
84,Geography,0,0,0,0,0
85,Geography,0,0,0,0,0
86,Geography,0,0,0,0,0
87,Geography,0,0,0,0,0
88,Geography,0,0,0,0,0
89,Geography,0,0,0,0,0
90,Geography,0,0,0,0,0
91,Geography,24.0,47.0,24.0,56.0,20.0
92,Geography,24.0,48.0,24.0,47.0,20.0
93,Geography,0,0,0,0,0
94,Geography,0,0,0,0,0
95,Geography,22.0,46.0,23.0,64.0,19.0
96,Geography,0,0,0,0,0
97,Geography,0,0,0,0,0
98,Geography,0,0,0,0,0
99,Geography,0,0,0,0,0
100,Geography,0,0,0,0,0
101,Geography,0,0,0,0,0
102,Geography,0,0,0,0,0
103,Geography,0,0,0,0,0
104,Geography,0,0,0,0,0
105,Geography,0,0,0,0,0
106,Geography,0,0,0,0,0
107,Geography,0,0,0,0,0
108,Geography,0,0,0,0,0
109,Geography,0,0,0,0,0
110,Geography,0,0,0,0,0
111,Geography,0,0,0,0,0
112,Geography,0,0,0,0,0
113,Geography,0,0,0,0,0
114,Geography,0,0,0,0,0
115,Geography,0,0,0,0,0
116,Geography,0,0,0,0,0
117,Geography,0,0,0,0,0
118,Geography,0,0,0,0,0
119,Geography,22.0,46.0,20.0,64.0,20.0
120,Geography,0,0,0,0,0
